211,拡,カク コウ,kaku kou,ひろがる ひろげる ひろめる,hirogaru hirogeru hiromeru ,broaden; extend; expand; enlarge;,1,カク コウ…ひろがる ひろげる ひろめる,
212,格,カク コウ キャク ゴウ,kaku kou kyaku gou,,,status; rank; capacity; character; case (law grammar);,2,カク コウ キャク ゴウ…,
213,核,カク,kaku,,,nucleus; core; kernel;,1,カク…,
214,殻,カク コク バイ,kaku koku bai,から がら,kara gara ,husk; nut shell;,1,カク コク バイ…から がら,
215,獲,カク,kaku,える,eru ,seize; get; find; earn; acquire; can; may; able to;,1,カク…える,
216,確,カク コウ,kaku kou,たしか たしかめる,tashika tashikameru ,assurance; firm; tight; hard; solid; confirm; clear; evident;,2,カク コウ…たしか たしかめる,
217,穫,カク,kaku,,,harvest; reap;,1,カク…,
218,覚,カク,kaku,おぼえる さます さめる さとる,oboeru samasu sameru satoru ,memorize; learn; remember; awake; sober up;,2,カク…おぼえる さます さめる さとる,
219,角,カク,kaku,かど つの,kado tsuno ,angle; corner; square;,2,カク…かど つの,
220,較,カク コウ,kaku kou,くらべる,kuraberu ,contrast; compare;,1,カク コウ…くらべる,
221,郭,カク,kaku,くるわ,kuruwa ,enclosure; quarters; fortification; red-light district;,1,カク…くるわ,
222,閣,カク,kaku,,,tower; tall building; palace;,1,カク…,
223,隔,カク,kaku,へだてる へだたる,hedateru hedataru ,isolate; alternate; distance; separate; gulf;,1,カク…へだてる へだたる,
224,革,カク,kaku,かわ,kawa ,leather; become serious; skin; hide; pelt;,2,カク…かわ,
225,学,ガク,gaku,まなぶ,manabu ,study; learning; science;,4,ガク…まなぶ,
226,岳,ガク,gaku,たけ,take ,point; peak; mountain;,1,ガク…たけ,
227,楽,ガク ラク ゴウ,gaku raku gou,たのしい たのしむ このむ,tanoshii tanoshimu konomu ,music; comfort; ease;,3,ガク ラク ゴウ…たのしい たのしむ このむ,
228,額,ガク,gaku,ひたい,hitai ,forehead; tablet; plaque; framed picture; sum; amount; volume;,2,ガク…ひたい,
229,掛,カイ ケイ,kai kei,かける かけ かかる かかり かかり,kakeru kake kakaru kakari kakari ,hang; suspend; depend; arrive at; tax; pour;,2,カイ ケイ…かける かけ かかる かかり かかり,
230,潟,セキ,seki,かた,kata ,lagoon;,1,セキ…かた,
231,割,カツ,katsu,わる わり わり われる さく,waru wari wari wareru saku ,proportion; comparatively; divide; cut; separate; split;,2,カツ…わる わり わり われる さく,
232,喝,カツ,katsu,,,hoarse; scold;,1,カツ…,
233,括,カツ,katsu,くくる,kukuru ,fasten; tie up; arrest; constrict;,1,カツ…くくる,
234,活,カツ,katsu,いきる いかす いける,ikiru ikasu ikeru ,lively; resuscitation; being helped; living;,2,カツ…いきる いかす いける,
235,渇,カツ,katsu,かわく,kawaku ,thirst; dry up; parch;,1,カツ…かわく,
236,滑,カツ コツ,katsu kotsu,すべる なめらか,suberu nameraka ,slippery; slide; slip; flunk;,1,カツ コツ…すべる なめらか,
237,褐,カツ,katsu,,,brown; woollen kimono;,1,カツ…,
238,轄,カツ,katsu,くさび,kusabi ,control; wedge;,1,カツ…くさび,
239,且,ショ ソ ショウ,syo so syou,かつ,katsu ,moreover; also; furthermore;,1,ショ ソ ショウ…かつ,
240,株,シュ,syu,かぶ,kabu ,stocks; stump; shares; stock; counter for small plants;,1,シュ…かぶ,
241,鎌,レン ケン,ren ken,かま,kama ,sickle; scythe; trick;,1,レン ケン…かま,
242,刈,ガイ カイ,gai kai,かる,karu ,reap; cut; clip; trim; prune;,1,ガイ カイ…かる,
243,乾,カン ケン,kan ken,かわく かわかす ほす ひる いぬい,kawaku kawakasu hosu hiru inui ,drought; dry; dessicate; drink up; heaven; emperor;,2,カン ケン…かわく かわかす ほす ひる いぬい,
244,冠,カン,kan,かんむり,kanmuri ,crown; best; peerless;,1,カン…かんむり,
245,寒,カン,kan,さむい,samui ,cold;,2,カン…さむい,
246,刊,カン,kan,,,publish; carve; engrave;,2,カン…,
247,勘,カン,kan,,,intuition; perception;,1,カン…,
248,勧,カン ケン,kan ken,すすめる,susumeru ,persuade; recommend; advise; encourage; offer;,1,カン ケン…すすめる,
249,巻,カン ケン,kan ken,まく まき まき,maku maki maki ,scroll; volume; book; part; roll up; wind up; tie; coil; counter for texts (on book scrolls);,2,カン ケン…まく まき まき,
250,喚,カン,kan,わめく,wameku ,yell; cry; scream;,1,カン…わめく,
251,堪,カン タン,kan tan,たえる たまる こらえる こたえる,taeru tamaru koraeru kotaeru ,withstand; endure; support; resist;,1,カン タン…たえる たまる こらえる こたえる,
252,完,カン,kan,,,perfect; completion; end;,2,カン…,
253,官,カン,kan,,,bureaucrat; the government;,2,カン…,
254,寛,カン,kan,くつろぐ ひろい ゆるやか,kutsurogu hiroi yuruyaka ,tolerant; leniency; generosity; relax; feel at home; be at ease; broadminded;,1,カン…くつろぐ ひろい ゆるやか,
